Pid,Lon,Lat,DisYear1,DisDOY1,DisYear2,DisDOY2
283,-121.3009439,37.05968759,0,0,0,0
284,-121.7288812,37.29096796,0,0,0,0
285,-121.0059915,37.25433852,0,0,0,0
286,-121.6434612,37.47061085,0,0,0,0
287,-120.8643164,37.78650752,2016,76,0,0
288,-121.2421259,36.99587496,0,0,0,0
289,-121.1982418,37.06243886,0,0,0,0
290,-121.6084008,37.50613696,2017,278,0,0
291,-120.9070656,37.10457247,2019,67,0,0
292,-121.2122318,37.61132049,0,0,0,0
293,-121.1581904,37.568667,0,0,0,0
294,-121.3515565,37.15107278,0,0,0,0
295,-120.9654479,37.82956605,0,0,0,0
296,-121.7829648,37.00181067,0,0,0,0
297,-121.1196326,37.92840847,2015,56,2017,93
298,-120.7965506,37.63356271,0,0,0,0
299,-121.3021003,37.8849491,0,0,0,0
300,-121.0593154,37.49317247,0,0,0,0
301,-106.3553598,41.3127106,0,0,0,0
302,-106.1850534,40.81530689,0,0,0,0
303,-106.6735736,40.66252783,0,0,0,0
304,-106.3243846,40.69577138,0,0,0,0
305,-106.6426659,40.95013698,0,0,0,0
306,-106.3973488,40.89662245,0,0,0,0
307,-107.3491657,40.62515925,0,0,0,0
308,-106.7583175,41.10962586,0,0,0,0
309,-107.0570763,41.24574524,0,0,0,0
310,-106.9719857,40.91072193,0,0,0,0
311,-106.1232926,41.25307675,0,0,0,0
312,-107.1007281,40.91813981,0,0,0,0
313,-106.7114052,41.48965321,0,0,0,0
314,-107.0676553,40.55224887,0,0,0,0
315,-106.6463532,41.33398798,0,0,0,0
316,-106.0775876,40.94666909,0,0,0,0
317,-107.2094423,41.18600258,0,0,0,0
318,-106.132144,40.83757329,0,0,0,0
319,-107.2305356,41.49997312,0,0,0,0
320,-107.1477418,41.46334105,0,0,0,0
321,-106.5264737,40.62711521,0,0,0,0
322,-107.2229159,41.44132699,0,0,0,0
323,-107.2757241,41.19969273,0,0,0,0
324,-106.5190203,41.02155387,0,0,0,0
325,-107.3489095,41.28256818,0,0,0,0
326,-106.095478,41.00991279,0,0,0,0
327,-106.6683797,40.7689635,0,0,0,0
328,-106.889644,41.02030021,0,0,0,0
329,-106.4486249,40.62331192,0,0,0,0
330,-106.1513185,41.39868015,0,0,0,0
331,-106.8816299,41.12382558,0,0,0,0
332,-106.4807176,41.26391536,0,0,0,0
333,-106.5915276,40.94983184,0,0,0,0
334,-106.378451,41.50500418,0,0,0,0
335,-106.617701,41.47512275,0,0,0,0
336,-106.8922124,41.21599553,0,0,0,0
337,-106.2786323,41.44526971,0,0,0,0
338,-107.0928694,41.36284818,0,0,0,0
339,-106.3432833,41.1762182,0,0,0,0
340,-106.0884702,41.50488171,0,0,0,0
341,-107.0041705,40.83407427,0,0,0,0
342,-106.4501191,40.90916268,2016,220,0,0
343,-106.5199795,41.36789347,0,0,0,0
344,-106.8491223,41.47314366,0,0,0,0
345,-106.7310726,41.13612768,0,0,0,0
346,-106.1436521,41.08797716,0,0,0,0
347,-106.1428253,41.34411312,0,0,0,0
348,-106.4161204,40.68509885,0,0,0,0
